"Butler, Scott M.","Dukhno, Julia","Marques, H.",,,,,,,,,
,"Dunnington, C.","Martin, Fran et al.",,,,,,,,,
,"Dwyer, C.","Martínez Bello, V. E.",,,,,,,,,
"Byker, Erik Jon","Díaz, Ruby Smith","Martínez Real, C. N.",,,,,,,,,
"Bélanger, Nathalie","Díaz-Salazar, P. R. (Coord.)","Mascarell Vaya, V.",,,,,,,,,
"Béneker, Tine","Duarte, E.","Matapo, J.",,,,,,,,,
"Büker, Gundula",,"Mate, R.",,,,,,,,,
"Büter, M.",,"Matencio López, R. M.",,,,,,,,,
,"Eacott, Scott",Mattingly J.,,,,,,,,,
"Caballero, David Franco",,"Mauch, W.",,,,,,,,,
"Cabeza, M.","Edge, Karen","Mawowa, S.",,,,,,,,,
"Cabral, Guilherme Perez","Ednir, M. (org.)",McCamlie D.,,,,,,,,,
"Cabrera Ruíz, I. I.",Education ForWorld Solutions,"McDonnell, Jane",,,,,,,,,
"Cadel, E.","Edwards, D. Brent","Medina, T.",,,,,,,,,
"Cahill, Helen","Eger, Maureen A.","Mendes, P. E.",,,,,,,,,
"Cain, Jessie Montana","Eglin, P.","Menezes, Isabel",,,,,,,,,
